Unique ID,Human Label,Confused,Concentrating,Bored,Frustrated
1,Attempt,0.955,0.045
2,Attempt,0.98,0.02
3,Attempt,0.983,0.017
4,Attempt,0.984,0.016
5,Attempt,0.976,0.024
6,Attempt,0.936,0.064
7,Attempt,0.999,0.001
8,Attempt,1.0,0.0
9,Attempt,0.364,0.636
10,Attempt,0.994,0.006
11,Attempt,0.999,0.001
12,Attempt,0.955,0.045
13,Attempt,0.987,0.013
14,Attempt,0.955,0.045
15,Attempt,0.955,0.045
16,Attempt,0.62,0.38
17,Attempt,0.954,0.046
18,Attempt,0.953,0.047
19,Attempt,0.955,0.045
20,Attempt,0.987,0.013
21,Attempt,0.955,0.045
22,Attempt,0.987,0.013
23,Attempt,0.955,0.045
24,Attempt,0.747,0.253
25,Attempt,0.955,0.045
26,Attempt,0.955,0.045
27,Attempt,0.987,0.013
28,Attempt,0.98,0.02
29,Attempt,0.975,0.025
30,Attempt,0.988,0.012
31,Attempt,0.999,0.001
32,Attempt,1.0,0.0
33,Attempt,0.435,0.565
34,Attempt,0.945,0.055
35,Attempt,0.987,0.013
36,Attempt,0.992,0.008
37,Attempt,0.955,0.045
38,Attempt,0.987,0.013
39,Attempt,0.98,0.02
40,Attempt,0.975,0.025
41,Attempt,0.993,0.007
42,Attempt,0.955,0.045
43,Attempt,0.987,0.013
44,Attempt,0.349,0.651
45,Attempt,0.994,0.006
46,Attempt,0.999,0.001
47,Attempt,0.955,0.045
48,Attempt,0.987,0.013
49,Attempt,0.893,0.107
50,Attempt,0.84,0.16
51,Attempt,0.734,0.266
52,Attempt,0.955,0.045
53,Attempt,0.987,0.013
54,Attempt,0.955,0.045
55,Attempt,0.987,0.013
56,Attempt,0.746,0.254
57,Attempt,0.955,0.045
58,Attempt,0.987,0.013
59,Attempt,0.357,0.643
60,Attempt,0.955,0.045
61,Attempt,0.987,0.013
62,Attempt,0.955,0.045
63,Attempt,0.987,0.013
64,Attempt,0.026,0.974
65,Attempt,0.966,0.034
66,Hint,0.997,0.003
67,Attempt,0.916,0.084
68,Attempt,0.994,0.006
69,Attempt,0.995,0.005
70,Hint,0.837,0.163
71,Attempt,0.436,0.564
72,Attempt,0.999,0.001
73,Hint,1.0,0.0
74,Attempt,0.946,0.054
75,Attempt,0.982,0.018
76,Hint,0.999,0.001
77,Attempt,0.996,0.004
78,Attempt,0.998,0.002
79,Attempt,0.988,0.012
80,Attempt,0.937,0.063
81,Attempt,0.984,0.016
82,Attempt,0.999,0.001
83,Attempt,1.0,0.0
84,Attempt,0.999,0.001
85,Attempt,0.955,0.045
86,Attempt,0.987,0.013
87,Attempt,0.955,0.045
88,Attempt,0.987,0.013
89,Attempt,0.377,0.623
90,Attempt,0.979,0.021
91,Attempt,0.994,0.006
92,Attempt,0.955,0.045
93,Attempt,0.987,0.013
94,Attempt,0.955,0.045
95,Attempt,0.963,0.037
96,Attempt,0.956,0.044
97,Attempt,0.939,0.061
98,Attempt,0.984,0.016
99,Attempt,0.998,0.002
100,Attempt,0.955,0.045
101,Attempt,0.987,0.013
102,Attempt,0.896,0.104
103,Attempt,0.975,0.025
104,Attempt,0.379,0.621
105,Attempt,0.955,0.045
106,Attempt,0.987,0.013
107,Attempt,0.955,0.045
108,Attempt,0.987,0.013
109,Attempt,0.955,0.045
110,Attempt,0.987,0.013
111,Attempt,0.955,0.045
112,Attempt,0.978,0.022
113,Attempt,0.775,0.225
114,Attempt,0.981,0.019
115,Attempt,0.998,0.002
116,Attempt,0.983,0.017
117,Attempt,0.999,0.001
118,Attempt,0.955,0.045
119,Attempt,0.963,0.037
120,Attempt,0.972,0.028
121,Attempt,0.919,0.081
122,Attempt,0.999,0.001
123,Attempt,1.0,0.0
124,Attempt,0.955,0.045
125,Attempt,0.987,0.013
126,Attempt,0.931,0.069
127,Attempt,0.982,0.018
128,Attempt,0.988,0.012
129,Attempt,0.472,0.528
130,Attempt,0.947,0.053
131,Attempt,0.978,0.022
132,Attempt,0.986,0.014
133,Attempt,0.948,0.052
134,Attempt,0.959,0.041
135,Attempt,0.995,0.005
136,Attempt,0.999,0.001
137,Attempt,0.998,0.002
138,Attempt,0.998,0.002
139,Attempt,0.999,0.001
140,Attempt,0.999,0.001
141,Attempt,0.999,0.001
142,Attempt,0.999,0.001
143,Attempt,1.0,0.0
144,Attempt,1.0,0.0
145,Attempt,0.892,0.108
146,Attempt,0.893,0.107
147,Attempt,0.951,0.049
148,Attempt,0.977,0.023
149,Attempt,0.944,0.056
150,Attempt,0.894,0.106
151,Attempt,0.995,0.005
152,Attempt,0.999,0.001
153,Attempt,0.998,0.002
154,Attempt,0.994,0.006
155,Attempt,0.998,0.002
156,Attempt,1.0,0.0
157,Attempt,1.0,0.0
158,Attempt,0.997,0.003
159,Attempt,0.998,0.002
160,Attempt,1.0,0.0
161,Attempt,0.39,0.61
162,Attempt,0.99,0.01
163,Attempt,0.997,0.003
164,Attempt,0.777,0.223
165,Attempt,0.776,0.224
166,Attempt,0.805,0.195
167,Attempt,0.997,0.003
168,Attempt,0.999,0.001
169,Attempt,0.578,0.422
170,Attempt,0.977,0.023
171,Attempt,0.996,0.004
172,Attempt,0.887,0.113
173,Attempt,0.867,0.133
174,Attempt,0.992,0.008
175,Attempt,1.0,0.0
176,Attempt,0.997,0.003
177,Attempt,0.92,0.08
178,Attempt,0.986,0.014
179,Attempt,0.999,0.001
180,Attempt,1.0,0.0
181,Attempt,0.999,0.001
182,Attempt,0.803,0.197
183,Attempt,0.941,0.059
184,Attempt,0.983,0.017
185,Attempt,0.951,0.049
186,Attempt,0.979,0.021
187,Attempt,0.993,0.007
188,Attempt,0.998,0.002
189,Attempt,0.999,0.001
190,Attempt,0.999,0.001
191,Attempt,0.999,0.001
192,Attempt,0.999,0.001
193,Attempt,1.0,0.0
194,Attempt,0.974,0.026
195,Attempt,1.0,0.0
196,Attempt,1.0,0.0
197,Attempt,0.996,0.004
198,Attempt,0.999,0.001
199,Attempt,1.0,0.0
200,Attempt,1.0,0.0
201,Attempt,1.0,0.0
202,Attempt,0.999,0.001
203,Attempt,1.0,0.0
204,Attempt,0.476,0.524
205,Attempt,0.996,0.004
206,Attempt,0.999,0.001
207,Attempt,0.999,0.001
208,Attempt,0.575,0.425
209,Attempt,0.082,0.918
210,Attempt,0.998,0.002
211,Attempt,0.893,0.107
212,Attempt,0.888,0.112
213,Attempt,0.924,0.076
214,Attempt,0.976,0.024
215,Attempt,0.971,0.029
216,Attempt,0.983,0.017
217,Attempt,0.998,0.002
218,Attempt,0.998,0.002
219,Attempt,0.995,0.005
220,Attempt,0.997,0.003
221,Attempt,0.999,0.001
222,Attempt,1.0,0.0
223,Attempt,1.0,0.0
224,Attempt,0.955,0.045
225,Attempt,0.987,0.013
226,Attempt,0.955,0.045
227,Attempt,0.987,0.013
228,Attempt,0.76,0.24
229,Attempt,0.931,0.069
230,Attempt,0.98,0.02
231,Hint,0.02,0.98
232,Attempt,0.572,0.428
233,Attempt,0.106,0.894
234,Attempt,0.998,0.002
235,Attempt,0.955,0.045
236,Attempt,0.987,0.013
237,Attempt,0.953,0.047
238,Attempt,0.987,0.013
239,Attempt,0.955,0.045
240,Attempt,0.98,0.02
241,Attempt,0.983,0.017
242,Attempt,0.984,0.016
243,Attempt,0.955,0.045
244,Attempt,0.987,0.013
245,Attempt,0.955,0.045
246,Attempt,0.987,0.013
247,Attempt,0.851,0.149
248,Attempt,0.951,0.049
249,Attempt,0.982,0.018
250,Attempt,0.872,0.128
251,Attempt,0.95,0.05
252,Attempt,0.979,0.021
253,Attempt,0.931,0.069
254,Attempt,0.982,0.018
255,Attempt,0.988,0.012
256,Attempt,0.955,0.045
257,Attempt,0.987,0.013
258,Attempt,0.74,0.26
259,Attempt,0.693,0.307
260,Attempt,0.976,0.024
261,Attempt,0.998,0.002
262,Attempt,0.938,0.062
263,Attempt,0.988,0.012
264,Attempt,0.741,0.259
265,Attempt,0.938,0.062
266,Attempt,0.988,0.012
267,Attempt,0.661,0.339
268,Attempt,0.962,0.038
269,Attempt,0.996,0.004
270,Attempt,0.975,0.025
271,Attempt,0.992,0.008
272,Attempt,0.976,0.024
273,Attempt,0.992,0.008
274,Attempt,0.999,0.001
275,Attempt,0.978,0.022
276,Attempt,0.962,0.038
277,Attempt,0.999,0.001
278,Attempt,0.823,0.177
279,Attempt,0.952,0.048
280,Attempt,0.989,0.011
281,Attempt,0.938,0.062
282,Attempt,0.988,0.012
283,Attempt,0.391,0.609
284,Attempt,0.98,0.02
285,Attempt,0.984,0.016
286,Attempt,0.837,0.163
287,Attempt,0.953,0.047
288,Attempt,0.988,0.012
289,Attempt,0.938,0.062
290,Attempt,0.988,0.012
291,Attempt,0.377,0.623
292,Attempt,0.989,0.011
293,Attempt,0.999,0.001
294,Attempt,0.996,0.004
295,Attempt,0.953,0.047
296,Attempt,0.938,0.062
297,Attempt,0.988,0.012
298,Attempt,0.895,0.105
299,Attempt,0.981,0.019
300,Attempt,0.966,0.034
301,Attempt,0.981,0.019
302,Attempt,0.999,0.001
303,Attempt,0.758,0.242
304,Attempt,0.912,0.088
305,Attempt,0.983,0.017
306,Attempt,0.938,0.062
307,Attempt,0.988,0.012
308,Attempt,0.938,0.062
309,Attempt,0.988,0.012
310,Hint,0.024,0.976
311,Attempt,0.793,0.207
312,Attempt,0.053,0.947
313,Attempt,0.965,0.035
314,Attempt,0.998,0.002
315,Attempt,0.99,0.01
316,Attempt,0.991,0.009
317,Attempt,0.999,0.001
318,Attempt,0.938,0.062
319,Attempt,0.988,0.012
320,Attempt,0.938,0.062
321,Attempt,0.988,0.012
322,Attempt,0.965,0.035
323,Attempt,0.977,0.023
324,Attempt,0.999,0.001
325,Attempt,1.0,0.0
326,Attempt,0.999,0.001
327,Attempt,0.938,0.062
328,Attempt,0.988,0.012
329,Attempt,0.937,0.063
330,Attempt,0.988,0.012
331,Hint,0.378,0.622
332,Attempt,0.956,0.044
333,Attempt,0.998,0.002
334,Attempt,0.986,0.014
335,Attempt,0.971,0.029
336,Attempt,0.967,0.033
337,Attempt,0.903,0.097
338,Attempt,0.982,0.018
339,Attempt,0.993,0.007
340,Attempt,0.938,0.062
341,Attempt,0.988,0.012
342,Attempt,0.706,0.294
343,Attempt,0.716,0.284
344,Hint,0.779,0.221
345,Attempt,0.937,0.063
346,Attempt,0.993,0.007
347,Attempt,0.898,0.102
348,Attempt,0.981,0.019
349,Attempt,0.993,0.007
350,Attempt,0.938,0.062
351,Attempt,0.98,0.02
352,Attempt,0.99,0.01
353,Attempt,0.994,0.006
354,Attempt,0.938,0.062
355,Attempt,0.988,0.012
356,Attempt,0.938,0.062
357,Attempt,0.988,0.012
358,Attempt,0.198,0.802
359,Attempt,0.963,0.037
360,Attempt,0.946,0.054
361,Attempt,0.996,0.004
362,Attempt,0.999,0.001
363,Attempt,0.938,0.062
364,Attempt,0.988,0.012
365,Attempt,0.938,0.062
366,Attempt,0.988,0.012
367,Attempt,0.924,0.076
368,Attempt,0.729,0.271
